time/iterations,time/fps,train/learning_rate,train/std,time/total_timesteps,train/entropy_loss,train/reward,train/n_updates,train/value_loss,time/time_elapsed,train/explained_variance,train/policy_loss
4600,440,0.0007,1.76924729347229,23000,-1.9901888370513916,-0.15509425,4599,0.1884814202785492,52,1.7881393432617188e-07,-0.18133589625358582
4700,441,0.0007,1.800765037536621,23500,-2.007913112640381,0.6853372,4699,0.12469813972711563,53,0.0,-0.7062875032424927
4800,441,0.0007,1.8333357572555542,24000,-2.024679660797119,-0.27870876,4799,0.04677554592490196,54,5.960464477539063e-08,0.03641388565301895
4900,440,0.0007,1.8192436695098877,24500,-2.017681360244751,-0.42311844,4899,0.07671672105789185,55,5.960464477539063e-08,0.2771502435207367
5000,438,0.0007,1.834414005279541,25000,-2.025695323944092,-0.060112257,4999,0.2404867708683014,56,5.960464477539063e-08,0.8741952776908875
5100,437,0.0007,1.8268057107925415,25500,-2.0216805934906006,0.5386336,5099,0.13489627838134766,58,0.0,0.4917546808719635
5200,436,0.0007,1.8616936206817627,26000,-2.0405983924865723,-0.34196678,5199,0.6583555936813354,59,0.0,1.4988101720809937
5300,435,0.0007,1.8583266735076904,26500,-2.037869453430176,0.20660844,5299,0.22755691409111023,60,0.0,0.8965865969657898
5400,434,0.0007,1.8513891696929932,27000,-2.034515857696533,-0.07076038,5399,0.1315416544675827,62,0.0,-0.3549104630947113
5500,433,0.0007,1.8535735607147217,27500,-2.035487413406372,0.6388306,5499,0.14406044781208038,63,0.0,-0.438607394695282
5600,434,0.0007,1.8631025552749634,28000,-2.040872812271118,-1.0209881,5599,0.16243870556354523,64,0.0,0.6194947957992554
5700,434,0.0007,1.8588289022445679,28500,-2.037935256958008,0.98079914,5699,0.1214822307229042,65,0.0,-0.2760710120201111
5800,435,0.0007,1.8660303354263306,29000,-2.0433921813964844,-0.11996977,5799,0.07121412456035614,66,5.960464477539063e-08,0.23169341683387756
5900,434,0.0007,1.8826208114624023,29500,-2.051331043243408,-0.27152133,5899,0.059369463473558426,67,0.0,0.25096896290779114
6000,435,0.0007,1.8771556615829468,30000,-2.049107074737549,0.10188184,5999,0.5969356298446655,68,0.0,1.3299808502197266
6100,436,0.0007,1.8813163042068481,30500,-2.0509138107299805,-1.1286193,6099,0.3446590304374695,69,0.0,-1.035404086112976
6200,437,0.0007,1.8956712484359741,31000,-2.0582163333892822,-0.34110662,6199,0.4916589856147766,70,0.0,1.3539196252822876
6300,437,0.0007,1.902653455734253,31500,-2.06179141998291,0.012353156,6299,0.26403895020484924,71,1.7881393432617188e-07,0.7592344880104065
6400,436,0.0007,1.9017431735992432,32000,-2.0607075691223145,-0.45890298,6399,0.16312675178050995,73,1.1920928955078125e-07,0.009159088134765625
6500,435,0.0007,1.9103121757507324,32500,-2.0663559436798096,-0.3965979,6499,0.1535612791776657,74,0.0,0.07968412339687347
6600,435,0.0007,1.9215641021728516,33000,-2.0722835063934326,-0.059493706,6599,1.1108911037445068,75,0.0,-2.176969051361084
6700,436,0.0007,1.930142879486084,33500,-2.0760366916656494,0.013282912,6699,1.750984787940979,76,0.0,-2.2051894664764404
6800,436,0.0007,1.9173595905303955,34000,-2.069316864013672,-0.065893225,6799,1.1411898136138916,77,0.0,-1.4691765308380127
6900,436,0.0007,1.9030125141143799,34500,-2.0618703365325928,-0.09338854,6899,1.4113398790359497,78,0.0,-1.7342790365219116
7000,437,0.0007,1.9246565103530884,35000,-2.0731899738311768,-0.06419158,6999,1.3303589820861816,80,0.0,-1.7340424060821533
7100,437,0.0007,1.9088830947875977,35500,-2.065659523010254,0.48668912,7099,0.47070518136024475,81,0.0,-1.331613540649414
7200,438,0.0007,1.9105008840560913,36000,-2.067192554473877,-0.23194212,7199,0.26637598872184753,82,0.0,-1.0710530281066895
7300,438,0.0007,1.9030276536941528,36500,-2.062265396118164,0.5035632,7299,0.16944560408592224,83,-1.1920928955078125e-07,-0.5393473505973816
7400,438,0.0007,1.9137070178985596,37000,-2.0676188468933105,0.54414093,7399,0.05399438738822937,84,0.0,-0.3230266571044922
7500,439,0.0007,1.921464204788208,37500,-2.0714712142944336,-0.13504256,7499,0.019681502133607864,85,1.1920928955078125e-07,-0.22749459743499756
7600,439,0.0007,1.9431806802749634,38000,-2.082768440246582,-0.53402823,7599,0.1750459223985672,86,0.0,0.9948446154594421
7700,439,0.0007,1.923806071281433,38500,-2.0732343196868896,-0.1310481,7699,0.054916996508836746,87,-1.1920928955078125e-07,0.2903231680393219
7800,439,0.0007,1.9177420139312744,39000,-2.0701136589050293,-0.26212788,7799,0.333368718624115,88,0.0,1.131150484085083
7900,440,0.0007,1.9089010953903198,39500,-2.0655291080474854,0.89131,7899,0.7824112772941589,89,0.0,1.7098697423934937
8000,440,0.0007,1.9045634269714355,40000,-2.0633554458618164,0.3003398,7999,0.45500239729881287,90,0.0,1.0686609745025635
8100,440,0.0007,1.9125158786773682,40500,-2.064903736114502,0.8158534,8099,0.18029582500457764,91,5.960464477539063e-08,0.02059781551361084
8200,440,0.0007,1.9294267892837524,41000,-2.0762038230895996,0.09566879,8199,0.20286479592323303,92,0.0,-0.5078917741775513
8300,441,0.0007,1.9402191638946533,41500,-2.081428289413452,0.015857898,8299,0.49479833245277405,94,5.960464477539063e-08,-1.1646559238433838
8400,441,0.0007,1.9484940767288208,42000,-2.0864782333374023,-0.09393724,8399,0.397437185049057,95,0.0,0.8798640966415405
8500,441,0.0007,1.9501416683197021,42500,-2.0866189002990723,-0.058462348,8499,0.6898029446601868,96,0.0,1.6996418237686157
8600,442,0.0007,1.96278977394104,43000,-2.093191146850586,0.7546859,8599,2.191061496734619,97,0.0,3.0609335899353027
8700,442,0.0007,1.9876976013183594,43500,-2.1062519550323486,-0.5338293,8699,2.3714828491210938,98,1.1920928955078125e-07,2.4843146800994873
8800,442,0.0007,1.992553472518921,44000,-2.1081085205078125,-0.13727841,8799,1.3310987949371338,99,-1.1920928955078125e-07,1.9460582733154297
8900,442,0.0007,2.000718593597412,44500,-2.111525535583496,-0.1319841,8899,0.3587626814842224,100,5.960464477539063e-08,1.027487874031067
9000,442,0.0007,1.9990007877349854,45000,-2.1123292446136475,1.4728762,8999,0.1405545026063919,101,0.0,0.14843633770942688
9100,443,0.0007,1.9896721839904785,45500,-2.1068499088287354,1.2382548,9099,0.4764208197593689,102,-1.1920928955078125e-07,1.475054144859314
9200,443,0.0007,1.999952793121338,46000,-2.1118931770324707,0.5584401,9199,0.1120397076010704,103,0.0,0.19499421119689941
9300,443,0.0007,2.026369333267212,46500,-2.1266729831695557,0.62178546,9299,0.1017671599984169,104,-1.1920928955078125e-07,-0.4275113046169281
9400,444,0.0007,2.052955389022827,47000,-2.137986421585083,-0.12292381,9399,0.1383436918258667,105,0.0,-0.4427531361579895
9500,444,0.0007,2.069213628768921,47500,-2.145529270172119,1.1636842,9499,1.4144232273101807,106,-1.1920928955078125e-07,2.8632242679595947
9600,444,0.0007,2.0616674423217773,48000,-2.142836332321167,2.0611272,9599,5.673742771148682,107,0.0,4.307697296142578
9700,444,0.0007,2.0767822265625,48500,-2.1502878665924072,-0.328651,9699,5.33760929107666,109,0.0,3.806549549102783
9800,444,0.0007,2.077504873275757,49000,-2.1506872177124023,-1.231209,9799,7.0662102699279785,110,0.0,4.026116847991943
9900,445,0.0007,2.0759897232055664,49500,-2.1500802040100098,-1.2427936,9899,4.595413684844971,111,0.0,2.6937246322631836
10000,445,0.0007,2.086308479309082,50000,-2.1544559001922607,-0.06697486,9999,4.267655372619629,112,5.960464477539063e-08,3.8712565898895264
