,date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,tic,ema12,ema26,macd,rsi_30,boll_ub,boll_lb
0,2023-01-30,601138,8.54,8.51,8.61,8.43,217748,210248030.0,2.14,1.31,0.11,0.11,sh601138,8.51,8.51,0.0,50.0,22.125332280820757,16.847960406785248
1,2023-01-31,601138,8.57,8.38,8.59,8.38,184630,177338332.0,2.47,-1.53,-0.13,0.09,sh601138,8.49,8.500370370370371,-0.010370370370370807,50.0,22.125332280820757,16.847960406785248
2,2023-02-01,601138,8.41,8.45,8.46,8.33,195248,186210775.0,1.55,0.84,0.07,0.1,sh601138,8.483846153846153,8.496639231824417,-0.012793077978264122,38.32116788321135,22.125332280820757,16.847960406785248
3,2023-02-02,601138,8.47,8.42,8.49,8.37,158757,151477030.0,1.42,-0.36,-0.03,0.08,sh601138,8.474023668639052,8.490962251689275,-0.01693858305022289,32.21619070096743,22.125332280820757,16.847960406785248
4,2023-02-03,601138,8.37,8.23,8.39,8.19,271191,254641004.0,2.38,-2.26,-0.19,0.14,sh601138,8.436481565771507,8.471631714527106,-0.03515014875559963,14.885995671358629,22.125332280820757,16.847960406785248
5,2023-02-06,601138,8.18,8.2,8.27,8.13,199794,186072469.0,1.7,-0.36,-0.03,0.1,sh601138,8.400099786422043,8.451510846784357,-0.05141106036231413,13.557320870992328,22.125332280820757,16.847960406785248
6,2023-02-07,601138,8.25,8.14,8.25,8.11,194772,181015776.0,1.71,-0.73,-0.06,0.1,sh601138,8.360084434664806,8.428435969244775,-0.06835153457996945,11.241774061372865,22.125332280820757,16.847960406785248
7,2023-02-08,601138,8.17,8.13,8.26,8.12,160435,149400914.0,1.72,-0.12,-0.01,0.08,sh601138,8.324686829331759,8.40632960115257,-0.08164277182081214,10.884274245697455,22.125332280820757,16.847960406785248
8,2023-02-09,601138,8.11,8.32,8.33,8.07,174156,162905446.0,3.2,2.34,0.19,0.09,sh601138,8.323965778665334,8.39993481588201,-0.07596903721667658,47.49176183504993,22.125332280820757,16.847960406785248
9,2023-02-10,601138,8.29,8.65,8.97,8.29,746094,736251616.0,8.17,3.97,0.33,0.38,sh601138,8.374124889639898,8.418458162853714,-0.04433327321381597,71.20050983929465,22.125332280820757,16.847960406785248
10,2023-02-13,601138,8.59,8.53,8.6,8.44,403000,388192236.0,1.85,-1.39,-0.12,0.2,sh601138,8.398105675849145,8.426720521160846,-0.028614845311700776,59.859988586098005,22.125332280820757,16.847960406785248
11,2023-02-14,601138,8.51,8.57,8.67,8.49,193428,187646558.0,2.11,0.47,0.04,0.1,sh601138,8.424550956487739,8.437333815889671,-0.012782859401932356,62.177021943340065,22.125332280820757,16.847960406785248
12,2023-02-15,601138,8.58,8.92,9.04,8.48,724498,723001800.0,6.53,4.08,0.35,0.37,sh601138,8.500773886258855,8.473086866564511,0.027687019694344173,76.10357601042925,22.125332280820757,16.847960406785248
13,2023-02-16,601138,8.95,8.76,9.09,8.69,615668,617814958.0,4.48,-1.79,-0.16,0.31,sh601138,8.540654826834416,8.494339691263436,0.046315135570980104,63.726743353868606,22.125332280820757,16.847960406785248
14,2023-02-17,601138,8.74,8.58,8.8,8.56,322609,316155794.0,2.74,-2.05,-0.18,0.16,sh601138,8.546707930398352,8.500684899317996,0.04602303108035599,52.61854304126383,22.125332280820757,16.847960406785248
15,2023-02-20,601138,8.58,8.78,8.79,8.51,252747,247312067.0,3.26,2.33,0.2,0.13,sh601138,8.582599018029374,8.521374906775922,0.06122411125345195,61.273022933046285,22.125332280820757,16.847960406785248
16,2023-02-21,601138,8.75,8.75,8.9,8.66,212945,210728836.0,2.73,-0.34,-0.03,0.11,sh601138,8.608353015255624,8.538310098866594,0.07004291638902949,59.39533228028644,22.125332280820757,16.847960406785248
17,2023-02-22,601138,8.68,8.62,8.72,8.51,217787,211956351.0,2.4,-1.49,-0.13,0.11,sh601138,8.61014485906245,8.544361202654255,0.06578365640819506,51.50375781546935,22.125332280820757,16.847960406785248
18,2023-02-23,601138,8.7,8.57,8.7,8.54,173994,169164611.0,1.86,-0.58,-0.05,0.09,sh601138,8.603968726898996,8.546260372828014,0.05770835407098218,48.63599202381394,22.125332280820757,16.847960406785248
19,2023-02-24,601138,8.53,8.49,8.62,8.48,154815,149409336.0,1.63,-0.93,-0.08,0.08,sh601138,8.586435076606843,8.542092937803718,0.044342138803125764,44.10247155707911,8.997292832988125,8.115094621580665
20,2023-02-27,601138,8.45,8.39,8.54,8.37,195856,187596249.0,2.0,-1.18,-0.1,0.1,sh601138,8.556214295590406,8.530826794262701,0.025387501327704953,38.87590766438208,8.984148535589766,8.096582970924855
21,2023-02-28,601138,8.48,8.47,8.64,8.36,254313,244333577.0,3.34,0.95,0.08,0.13,sh601138,8.542950557807266,8.526321105798798,0.016629452008467993,44.90314181507543,8.974394508199365,8.092933997694816
